cell_y,cell_x,relative_forward,relative_lateral,local_activity,radius,actual_removed_fraction,final_mass,final_mass_ratio,survived,extinction_step
98,3,-9.340950517899492,1.347865097385177,0.23125839233398438,2.8499999999999996,0.05047639868065801,70.90715789794922,0.9914205434605206,True,
98,4,-8.963002684760445,2.2736919901818267,0.14966212213039398,3.0499999999999994,0.05017695855828178,71.187744140625,0.9953436870957728,True,
98,10,-6.695315685926162,7.828653346961724,0.4220857620239258,4.1499999999999995,0.050922325313594405,70.92823028564453,0.9917151765932004,True,
99,0,-9.548967124519983,-1.8075634141438188,0.1527535617351532,3.0499999999999994,0.04724589825769625,70.93939971923828,0.9918713470878576,True,
99,1,-9.171019291380937,-0.8817365213471695,0.2779981195926666,2.2499999999999996,0.05146080483275143,71.06922912597656,0.9936866157405778,True,
99,2,-8.793071458241888,0.04409037144948025,0.18103356659412384,2.05,0.043819211317667216,70.9205551147461,0.9916078627150411,True,
99,3,-8.415123625102842,0.96991726424613,0.41026851534843445,2.05,0.04415971753301822,70.8570327758789,0.9907196963635956,True,
99,4,-8.037175791963795,1.8957441570427795,0.36427944898605347,2.2499999999999996,0.05317506003070073,70.82066345214844,0.9902111821914432,True,
99,5,-7.659227958824748,2.821571049839429,0.1999456286430359,2.8499999999999996,0.04914992287481719,71.12512969970703,0.99446821493071,True,
99,6,-7.281280125685701,3.747397942636079,0.18356335163116455,3.0499999999999994,0.04436125440962966,71.29501342773438,0.9968435212179592,True,
99,7,-6.903332292546653,4.673224835432729,0.1733243465423584,3.1999999999999993,0.05071412132228619,71.51605987548828,0.9999341822437134,True,
99,8,-6.525384459407606,5.599051728229378,0.19199734926223755,3.1999999999999993,0.0458269995743714,71.01136016845703,0.9928774947009772,True,
99,9,-6.14743662626856,6.524878621026028,0.17458558082580566,3.0499999999999994,0.049174797879750855,70.95342254638672,0.9920674135968603,True,
99,10,-5.769488793129512,7.450705513822677,0.36444488167762756,3.1999999999999993,0.047003781987482895,71.06500244140625,0.9936275184359056,True,
100,0,-8.623140231723333,-2.185511247282866,0.24436655640602112,2.8499999999999996,0.052827276659658196,71.06967163085938,0.9936928028230164,True,
100,1,-8.245192398584287,-1.2596843544862169,0.43217650055885315,2.05,0.04375963064717949,70.8726806640625,0.990938484399485,True,
100,2,-7.8672445654452385,-0.3338574616895671,0.3061240613460541,2.05,0.05412739069398797,70.97361755371094,0.9923497792384982,True,
100,3,-7.489296732306192,0.5919694311070827,0.3638782501220703,2.05,0.05073765623716581,71.11929321289062,0.9943866094468214,True,
100,4,-7.111348899167145,1.5177963239037322,0.3977102041244507,2.05,0.04387223154729331,71.02742767333984,0.9931021497977998,True,
100,9,-5.22160973347191,6.14693078788698,0.11195635795593262,3.1999999999999993,0.04987201139916602,70.93270874023438,0.9917777941344325,True,
100,10,-4.8436619003328625,7.07275768068363,0.2460574060678482,2.8499999999999996,0.051490156805203975,71.22679138183594,0.9958896437840623,True,
100,11,-4.465714067193815,7.998584573480279,0.649719774723053,3.0499999999999994,0.048141705122584234,71.14407348632812,0.9947330860633835,True,
101,0,-7.6973133389266835,-2.563459080421913,0.19782555103302002,2.2499999999999996,0.05025772065216116,70.93370056152344,0.9917916617330018,True,
101,1,-7.319365505787636,-1.6376321876252637,0.413313627243042,2.05,0.04449063977099261,71.02996826171875,0.9931376721849041,True,
101,2,-6.941417672648589,-0.711805294828614,0.31955206394195557,2.05,0.04903087487479159,71.29530334472656,0.9968475748236948,True,
101,3,-6.563469839509542,0.21402159796803577,0.16900616884231567,2.05,0.05037423514860199,71.2365493774414,0.9960260796192171,True,
101,4,-6.185522006370495,1.1398484907646853,0.2799137830734253,2.05,0.04150459910906013,71.00899505615234,0.9928444258120812,True,
101,5,-5.8075741732314485,2.065675383561335,0.14618933200836182,2.2499999999999996,0.05504938598540489,71.0455322265625,0.9933552868086069,True,
101,11,-3.539887174397166,7.620636740341233,0.75249844789505,2.8499999999999996,0.050805184108372085,71.04796600341797,0.9933893157620192,True,
101,127,-8.07526117206573,-3.489285973218563,0.1495739072561264,3.0499999999999994,0.045882743320351124,71.01972961425781,0.992994515898135,True,
102,0,-6.771486446130034,-2.94140691356096,0.10480045527219772,2.2499999999999996,0.046107868448759755,71.07518768310547,0.9937699280058286,True,
102,1,-6.393538612990986,-2.015580020764311,0.21371056139469147,2.2499999999999996,0.05704331331065447,71.00577545166016,0.9927994094536486,True,
102,2,-6.015590779851939,-1.089753127967661,0.27806732058525085,2.05,0.0424752576706488,70.9909896850586,0.9925926755611311,True,
