initial_condition_seed,phase,target_removed_fraction,actual_removed_fraction,location,radius,pre_mass,control_valid,final_mass,final_mass_ratio,mass_ratio_to_control,motion_ratio_to_control,aligned_similarity_to_control,final_occupied_fraction,mass_recovery_time_steps,shape_recovery_time_steps,functional_recovery_time_steps,functionally_recovered,shape_recovered,survived,extinction_step
10003,340,0.1,0.10000002384185791,center,1.648008478963429,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10003,340,0.1,0.10000002384185791,leading,1.8745328600828455,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,50
10003,340,0.1,0.10000002384185791,trailing,2.442127931796506,71.04460144042969,True,71.16768646240234,1.001732503518594,0.9991599126557664,1.0008961071609448,0.9619924753528124,0.01031494140625,30.0,0.0,50.0,True,True,True,
10003,340,0.15,0.15000003576278687,center,1.9663352318859402,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10003,340,0.15,0.15000003576278687,leading,2.164858178961111,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10003,340,0.15,0.15000003576278687,trailing,3.058749725889354,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10003,340,0.2,0.20000004768371582,center,2.3623043203343186,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10003,340,0.2,0.20000004768371582,leading,2.8196305755597066,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10003,340,0.2,0.20000004768371582,trailing,3.5658490760249615,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10003,340,0.25,0.2500000596046448,center,2.6457124764326996,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10003,340,0.25,0.2500000596046448,leading,2.9901468308816765,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10003,340,0.25,0.25,trailing,4.062280507852975,71.04460144042969,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10004,420,0.05,0.04999994486570358,center,1.2652450322808135,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10004,420,0.05,0.04999994486570358,leading,1.1462477669830848,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10004,420,0.05,0.04999994486570358,trailing,1.8668138427153762,71.18293762207031,True,70.95149230957031,0.9967485844187998,0.9980125074665115,1.0017738362523902,0.9913275553537279,0.01025390625,10.0,0.0,50.0,True,True,True,
10004,420,0.1,0.10000000149011612,center,1.7173502821693996,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10004,420,0.1,0.10000000149011612,leading,1.83209567463444,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,50
10004,420,0.1,0.09999988973140717,trailing,2.291060137919456,71.18293762207031,True,70.9458999633789,0.9966700214038664,0.9979338448300619,1.0026188767658712,0.9715566482429521,0.010498046875,30.0,20.0,50.0,True,True,True,
10004,420,0.15,0.1499999463558197,center,1.9040869281766948,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10004,420,0.15,0.1499999463558197,leading,2.4583273666205483,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10004,420,0.15,0.1499999463558197,trailing,3.033305173969124,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10004,420,0.2,0.20000000298023224,center,2.3723945177669608,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10004,420,0.2,0.20000000298023224,leading,2.541714050377734,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10004,420,0.2,0.19999994337558746,trailing,3.5408915409674004,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10004,420,0.25,0.24999994039535522,center,2.632233468015572,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10004,420,0.25,0.25,leading,3.0448634329987927,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10004,420,0.25,0.24999994039535522,trailing,3.9962239195323765,71.18293762207031,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10005,500,0.05,0.04999994486570358,center,1.1656220918491953,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10005,500,0.05,0.05000005289912224,leading,1.3842005845090628,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10005,500,0.05,0.04999994486570358,trailing,1.7161569928082194,71.20399475097656,True,71.34302520751953,1.0019525654007082,1.0059676621197124,1.0011790960434401,0.9840331902313173,0.01043701171875,20.0,0.0,50.0,True,True,True,
10005,500,0.1,0.10000000149011612,center,1.54801741819199,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10005,500,0.1,0.10000000149011612,leading,1.7948123597232086,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,50
10005,500,0.1,0.10000000149011612,trailing,2.3808390959163575,71.20399475097656,True,71.18602752685547,0.9997476655041064,1.0037539265889237,0.99948633097492,0.9482052934478229,0.010498046875,20.0,20.0,50.0,True,True,True,
10005,500,0.15,0.1499999463558197,center,2.0804261552502403,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10005,500,0.15,0.15000000596046448,leading,2.3720356761217545,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10005,500,0.15,0.1499999463558197,trailing,2.985419769812712,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10005,500,0.2,0.19999989867210388,center,2.298544915586618,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10005,500,0.2,0.19999994337558746,leading,2.6813405468938396,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10005,500,0.2,0.20000000298023224,trailing,3.694151104921559,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10005,500,0.25,0.24999994039535522,center,2.7000907246665617,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10005,500,0.25,0.24999994039535522,leading,2.915559207004594,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10005,500,0.25,0.25,trailing,4.044735945517396,71.20399475097656,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10006,180,0.05,0.049999937415122986,center,1.2367720068730972,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10006,180,0.05,0.05000004172325134,leading,1.3320893967525222,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10006,180,0.05,0.049999937415122986,trailing,1.7773744818922723,71.09933471679688,True,71.18757629394531,1.001241102712141,1.0009582949151796,1.0001429954073071,0.9475434184996542,0.01019287109375,10.0,0.0,50.0,True,True,True,
10006,180,0.1,0.09999997913837433,center,1.610679146940441,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10006,180,0.1,0.10000003129243851,leading,1.8151594790765135,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,50
10006,180,0.1,0.09999992698431015,trailing,2.3589483267579507,71.09933471679688,True,71.25904846191406,1.0022463465481548,1.0019632548127957,0.9997557608232399,0.9709241358718993,0.0106201171875,30.0,20.0,50.0,True,True,True,
10006,180,0.15,0.15000002086162567,center,2.0260372881687183,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10006,180,0.15,0.15000002086162567,leading,2.3210628643546785,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10006,180,0.15,0.14999991655349731,trailing,2.8707810251829957,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10006,180,0.2,0.19999995827674866,center,2.3423757298140067,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10006,180,0.2,0.20000001788139343,leading,2.706100427470703,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10006,180,0.2,0.19999989867210388,trailing,3.5713721381261907,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10006,180,0.25,0.24999994039535522,center,2.645234174564318,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10006,180,0.25,0.25,leading,2.9737722335609265,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10006,180,0.25,0.24999994039535522,trailing,3.9312169864107074,71.09933471679688,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10007,260,0.05,0.050000011920928955,center,1.2666004375645388,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10007,260,0.05,0.0499999038875103,leading,1.3445844769077002,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10007,260,0.05,0.050000011920928955,trailing,1.747952289790876,70.97486877441406,True,71.14701843261719,1.0024255016060726,1.0026505446346685,0.999125152140048,0.9741769375501348,0.01055908203125,20.0,0.0,50.0,True,True,True,
10007,260,0.1,0.10000002384185791,center,1.6627845599318551,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10007,260,0.1,0.10000002384185791,leading,1.8228668465081954,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,100
10007,260,0.1,0.10000002384185791,trailing,2.4610458667934054,70.97486877441406,True,71.20589447021484,1.003255035194712,1.0034802644523602,0.9988645772200635,0.9850513027113589,0.010498046875,30.0,20.0,50.0,True,True,True,
10007,260,0.15,0.1499999761581421,center,1.8974185096193086,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10007,260,0.15,0.1499999761581421,leading,2.3339482923035435,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10007,260,0.15,0.15000003576278687,trailing,2.957339329616782,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10007,260,0.2,0.19999998807907104,center,2.3229618430036783,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10007,260,0.2,0.19999998807907104,leading,2.6386077305473443,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10007,260,0.2,0.20000004768371582,trailing,3.5787630771409384,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10007,260,0.25,0.25,center,2.6212506173271475,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10007,260,0.25,0.25,leading,2.96061052448255,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10007,260,0.25,0.2500000596046448,trailing,4.145401538488908,70.97486877441406,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10008,340,0.05,0.05000002682209015,center,1.1378546220045618,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10008,340,0.05,0.05000002682209015,leading,1.4322256693885296,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,50
10008,340,0.05,0.05000002682209015,trailing,1.8009278469192993,71.20891571044922,True,71.09789276123047,0.998440884148971,1.0015830461337196,0.9991985861677627,0.9748545179140746,0.010498046875,20.0,0.0,50.0,True,True,True,
10008,340,0.1,0.1000000536441803,center,1.5589444615790617,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10008,340,0.1,0.1000000536441803,leading,1.7350741786535138,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10008,340,0.1,0.1000000536441803,trailing,2.422131718158634,71.20891571044922,True,71.1045150756836,0.998533882538106,1.0016763371951678,0.9983381352078069,0.9731623613652476,0.0106201171875,20.0,0.0,50.0,True,True,True,
10008,340,0.15,0.15000008046627045,center,2.1166463223765324,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10008,340,0.15,0.15000008046627045,leading,2.3988200570635443,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10008,340,0.15,0.15000008046627045,trailing,3.0768697055434124,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10008,340,0.2,0.2000001072883606,center,2.2413218764549128,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10008,340,0.2,0.2000001072883606,leading,2.6911194752602645,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10008,340,0.2,0.2000001072883606,trailing,3.500609644547666,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10008,340,0.25,0.25000011920928955,center,2.6848697555202676,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10008,340,0.25,0.25000011920928955,leading,2.951872236995546,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10008,340,0.25,0.2500000298023224,trailing,4.000325453650313,71.20891571044922,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10009,420,0.05,0.05000002682209015,center,1.2827261132099228,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10009,420,0.05,0.05000002682209015,leading,1.308980066127559,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,60
10009,420,0.05,0.05000002682209015,trailing,1.8014692271096366,70.93578338623047,True,71.26741790771484,1.0046751372248712,1.001768426624719,0.9986472248027102,0.9910345341157809,0.01043701171875,20.0,0.0,50.0,True,True,True,
